,,,,Pakistan Website Defacement Data 2006-2020,,,,,
"Total notifications: 1,351 of which 568 single ip and 783 mass defacements",,,,,,,,,
,,,,,,,,,
Legend:,,,,,,,,,
H - Homepage defacement,,,,,,,,,
M - Mass defacement (click to view all defacements of this IP),,,,,,,,,
R - Redefacement (click to view all defacements of this site) ,,,,,,,,,
L - IP address location,,,,,,,,,
 - Special defacement (special defacements are important websites),,,,,,,,,
,,,,,,,,,
Date,Notifier,H,M,R,L,,Domain,OS,View
10/17/2017,jok3r,,,R,,,sargodhapolice.gov.pk/editor-i...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,kohistan.financekpp.gov.pk/Leg...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,karak.financekpp.gov.pk/Legion...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,lakkimarwat.financekpp.gov.pk/...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,lowerdir.financekpp.gov.pk/Leg...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,malakand.financekpp.gov.pk/Leg...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,mansehra.financekpp.gov.pk/Leg...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,mardan.financekpp.gov.pk/Legio...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,nowshera.financekpp.gov.pk/Leg...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,shangla.financekpp.gov.pk/Legi...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,swabi.financekpp.gov.pk/Legion...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,upperdir.financekpp.gov.pk/Leg...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,tank.financekpp.gov.pk/Legion....,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,torghar.financekpp.gov.pk/Legi...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,swat.financekpp.gov.pk/Legion....,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,abbottabad.financekpp.gov.pk/L...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,bannu.financekpp.gov.pk/Legion...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,batagram.financekpp.gov.pk/Leg...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,buner.financekpp.gov.pk/Legion...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,charsadda.financekpp.gov.pk/Le...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,chitral.financekpp.gov.pk/Legi...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,dikhan.financekpp.gov.pk/Legio...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,hangu.financekpp.gov.pk/Legion...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,,,,haripur.financekpp.gov.pk/Legi...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,R,,,kohat.financekpp.gov.pk/Legion...,Linux,mirror
10/12/2017,ErrOr SquaD,,M,R,,,peshawar.financekpp.gov.pk/Leg...,Linux,mirror
10/12/2017,ErrOr SquaD,,,,,,www.financekpp.gov.pk/Legion.html,Linux,mirror
9/29/2017,ErrOr SquaD,,,,,,kpst.kp.gov.pk/Legion.html,Linux,mirror
9/19/2017,ErrOr SquaD,,M,,,,www.billiontreeproject.kp.gov....,Linux,mirror
9/18/2017,ErrOr SquaD,,M,R,,,www.pakp.gov.pk/Legion.html,Linux,mirror
9/16/2017,ErrOr SquaD,H,,,,,sunkp.gov.pk,Linux,mirror
9/12/2017,fallaga team,H,M,,,,www.punjabeblik4d.gov.pk,Linux,mirror
8/21/2017,r43h17,H,,,,,sindhsports.gov.pk,Linux,mirror
8/14/2017,r00t d3str0y3r,H,M,R,,,mpnr.gov.pk,Win 2012,mirror
8/14/2017,r00t d3str0y3r,H,M,R,,,msw.establishment.gov.pk,Win 2012,mirror
8/14/2017,r00t d3str0y3r,H,M,R,,,www.narcon.gov.pk,Win 2012,mirror
8/14/2017,r00t d3str0y3r,H,M,R,,,www.establishment.gov.pk,Win 2012,mirror
8/14/2017,r00t d3str0y3r,H,M,R,,,modp.gov.pk,Win 2012,mirror
8/14/2017,r00t d3str0y3r,H,M,R,,,mocc.gov.pk,Win 2012,mirror
8/14/2017,r00t d3str0y3r,H,M,R,,,www.pmi.gov.pk,Win 2012,mirror
8/14/2017,r00t d3str0y3r,H,M,R,,,mod.gov.pk,Win 2012,mirror
8/14/2017,r00t d3str0y3r,H,M,R,,,www.safron.gov.pk,Win 2012,mirror
8/14/2017,r00t d3str0y3r,H,,R,,,ipc.gov.pk,Win 2012,mirror
7/26/2017,TeaM_CC,,M,,,,districtcourtsbuner.gov.pk/ski...,Linux,mirror
7/17/2017,Mr. Po Panda,H,M,,,,rda.gov.pk,Linux,mirror
